date,trial,rep,morphology,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
0817,r180_p45,2,With Tail,348.71,-1.16,-31.86,89.03,179.63,-179.6,-44.27,187.28,6.64,7.39,-429.69,-14.16,-42.45,-42.45,-0.94,-0.75
0817,r180_p45,3,With Tail,-11.24,-3.99,-76.97,323.84,-172.37,-172.37,102.42,-129.04,24.6,21.51,-408.67,348.2,-39.65,-39.65,-6.17,-345.41
0817,r180_p45,4,With Tail,343.91,-14.63,-198.92,-361.24,179.17,-175.41,-23.09,-62.15,31.51,16.64,-180.22,457.26,-43.54,-43.54,-9.01,-9.09
0817,r180_p45,5,With Tail,350.83,-11.0,92.95,42.68,178.07,-178.84,-26.03,282.37,17.47,-52.29,-145.99,-647.02,-45.61,-45.61,-20.8,-22.56
0817,r180_p45,6,With Tail,-10.17,-7.84,49.83,95.15,-179.7,-174.28,51.85,-102.38,16.25,-3.81,-353.55,355.68,-42.96,-42.96,7.92,8.27
0816,r180,1,No Tail,60.15,38.86,-0.25,-0.2,175.06,178.93,-22.19,-127.28,47.1,-34.97,0.04,0.7,0.6,0.81,73.94,74.0
0816,r180,2,No Tail,-28.93,-394.81,35.69,34.34,179.0,-178.68,-91.86,371.14,-2.0,6.45,-5.82,133.77,1.69,1.47,-34.51,-36.72
0816,r180,3,No Tail,-335.98,25.08,27.75,-131.23,-179.41,179.81,79.1,-75.56,1.69,13.97,328.0,443.19,2.91,2.69,-39.08,-39.08
0817,r180,1,No Tail,-13.22,-378.79,-231.64,57.37,178.82,-179.63,34.01,226.7,-32.99,-0.61,294.26,-110.92,-0.83,-0.83,-8.81,-8.61
0817,r180,2,No Tail,-24.01,-379.33,-153.31,-315.83,179.35,-177.56,66.46,66.32,-43.78,5.29,271.55,-295.05,-5.86,-5.64,56.5,56.09
0817,r180,3,No Tail,45.34,21.88,-76.27,-42.07,175.75,178.84,-32.76,275.62,35.17,-30.6,93.02,404.51,-1.93,-1.93,-23.37,-13.97
0810,r45,1,No Tail,17.58,-1.35,214.92,102.37,46.33,48.65,50.94,-26.35,-2.26,-19.9,-84.43,-53.57,0.83,0.83,-29.34,80.58
0810,r45,2,No Tail,55.55,61.47,-204.72,-386.02,45.06,46.61,51.37,-25.8,4.9,-30.14,-15.36,-278.93,1.34,1.34,-15.13,17.8
0810,r45,3,No Tail,25.54,-14.13,-31.38,-465.68,43.54,48.19,15.72,-138.36,-7.53,-26.81,120.5,-178.74,1.24,1.24,-3.92,50.81
0816,r45,1,No Tail,12.44,41.1,421.69,413.32,44.42,46.73,-141.28,-111.91,13.22,-43.62,-77.91,-435.73,1.48,1.32,20.87,22.59
0816,r45,2,No Tail,-1.26,-6.58,-28.84,19.81,45.57,45.57,-8.97,-124.7,-1.64,-17.7,-94.94,241.62,1.53,1.53,15.4,15.21
0816,r45,3,No Tail,-21.76,-19.95,-261.04,-211.38,46.92,46.92,12.12,12.08,10.92,-1.48,101.46,430.52,0.67,0.67,8.89,41.95
0810,r90,1,No Tail,23.2,32.5,-24.49,17.01,94.12,100.32,-0.84,-424.79,-8.17,-24.89,0.04,70.83,-2.15,-2.15,-5.06,-4.05
0810,r90,2,No Tail,-7.04,-10.93,158.99,279.04,90.69,95.34,-30.5,-146.27,17.6,-17.85,500.46,483.24,-0.31,-0.31,25.93,61.64
0810,r90,3,No Tail,14.53,-24.94,660.57,498.08,94.47,95.25,-48.9,-126.07,36.49,-34.9,203.42,296.99,-0.19,-0.19,10.41,10.4
0816,r90,1,No Tail,-9.06,-8.99,108.42,406.0,88.93,92.03,-11.9,142.55,-7.16,3.86,-237.15,-822.97,0.14,0.14,62.48,281.58
0816,r90,2,No Tail,26.86,19.49,318.4,-45.56,89.88,92.2,-59.14,-444.83,26.83,-23.01,-232.82,-156.19,0.83,0.82,29.15,29.17
0816,r90,3,No Tail,-24.63,-50.86,-112.13,-187.86,87.92,87.92,37.64,-155.35,20.27,-9.92,284.24,-99.47,0.13,0.12,20.91,21.92
0816,r90,4,No Tail,3.21,5.9,-67.71,-168.86,85.92,89.79,-36.99,-152.89,-25.92,-42.41,-393.94,-252.55,1.85,1.84,51.75,51.9
0817,r180_p15,1,No Tail,334.52,-19.53,93.91,-0.74,179.5,-175.07,-64.43,-218.99,20.27,-30.53,-31.99,493.73,-15.2,-15.2,-2.85,-200.25
0817,r180_p15,2,No Tail,349.73,-8.55,71.32,-42.68,177.74,-177.61,2.43,79.76,29.92,16.6,-153.73,716.82,-16.55,-16.33,94.1,92.94
0817,r180_p15,3,No Tail,363.88,8.68,-2.24,-137.86,177.79,-176.01,18.08,18.22,-0.49,-1.11,70.43,248.15,-15.92,-15.7,49.57,48.15
0817,r180_p15,4,No Tail,357.07,-1.52,10.97,-78.36,179.67,-173.36,26.63,65.0,-9.63,-7.41,-72.44,-65.45,-13.76,-13.54,63.41,62.0
0817,r180_p15,5,No Tail,342.96,-12.72,67.97,-286.38,178.95,-176.4,-73.15,119.42,-2.19,-9.32,-45.86,247.6,-15.37,-15.15,9.55,7.33
0817,r180_p15,6,No Tail,359.8,2.18,-16.79,-246.91,176.94,-179.19,0.03,-77.2,1.22,1.57,136.51,213.36,-15.99,-15.99,-0.04,-0.09
0817,r180_p30,1,No Tail,364.18,21.22,-69.65,12.55,178.13,-176.44,33.33,71.49,-12.49,-25.41,200.39,-34.68,-30.57,-30.57,44.97,-0.21
0817,r180_p30,2,No Tail,357.41,13.55,-46.66,-82.51,178.24,-175.56,-9.19,-9.27,-6.55,-35.03,277.75,245.28,-30.12,-30.12,-17.35,-51.16
0817,r180_p30,3,No Tail,369.06,17.18,40.75,-211.35,178.88,-176.47,60.18,289.35,-17.2,-15.6,77.39,-69.99,-31.63,-31.41,124.85,-77.95
0817,r180_p30,4,No Tail,3.09,3.17,35.28,72.82,-178.6,-172.41,43.27,-72.51,1.75,0.97,23.98,-58.16,-29.9,-29.68,58.08,57.26
0817,r180_p30,5,No Tail,362.04,16.0,-86.26,113.29,179.12,-174.68,24.97,-52.26,-8.0,-33.37,358.61,187.17,-28.29,-28.29,-15.42,-15.53
0817,r180_p30,6,No Tail,362.39,384.93,62.12,-162.35,179.03,179.8,-26.26,-26.23,-23.49,-37.22,20.99,-10.25,-28.47,-28.47,-22.93,-45.04
0817,r180_p45,1,No Tail,359.26,8.15,-126.29,-199.77,177.75,-176.05,25.22,-51.76,-22.47,-30.55,-227.23,-129.21,-43.43,-43.43,-4.95,-4.9
0817,r180_p45,2,No Tail,344.69,335.02,-22.78,-28.59,177.91,-174.34,32.25,-199.42,0.02,-65.57,-22.42,246.21,-44.61,-44.83,-29.61,-227.66
0817,r180_p45,3,No Tail,340.4,-8.77,-243.87,-210.1,179.81,-173.22,14.51,284.4,2.87,-2.04,-502.1,-131.57,-46.18,-46.18,-12.12,-24.79
0817,r180_p45,4,No Tail,-6.17,5.0,-45.53,11.98,-179.9,-172.93,8.85,122.35,5.12,-50.7,-49.27,200.5,-45.01,-45.01,-41.74,-292.51
0817,r180_p45,5,No Tail,327.82,-34.69,-21.82,90.32,176.0,-178.58,2.99,2.83,23.66,-36.52,17.71,-348.39,-41.66,-41.88,-47.9,-49.77
0817,r180_p45,6,No Tail,-13.96,-4.39,-62.08,-283.71,-179.21,-179.98,2.78,79.94,10.82,7.94,-202.45,-132.33,-43.46,-43.24,10.04,10.09
