date,trial,rep,morphology,controller,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
Apr21,r90,1,spine+tail,MBC,1.49,1.52,-34.06,167.4,87.97,90.89,56.43,-137.99,-2.73,-16.85,84.33,-175.56,-4.17,-4.15,-68.88,85.73
Apr21,r180,1,spine+tail,MBC,339.66,362.2,127.71,88.18,175.7,177.24,-63.44,13.5,6.65,-6.76,-11.74,168.43,-6.27,-7.04,-21.04,-20.97
Apr27,r180_p-15,1,spine+tail,MBC,-49.51,-22.02,57.37,-135.76,-175.11,-178.19,8.13,8.06,-22.01,-26.47,712.07,165.47,-13.73,-14.5,-8.96,-9.26
Apr27,r180_p15,1,spine+tail,MBC,-402.43,-314.25,-395.72,-145.47,-171.83,-173.37,29.05,29.19,62.45,6.14,39.51,-103.49,4.16,4.93,-45.61,-45.9
Apr21,r45,2,spine+tail,MBC,4.15,-2.72,-15.52,-89.32,39.36,41.16,-30.65,7.42,-15.75,-12.04,-61.87,74.36,-5.86,-8.2,36.15,578.81
Apr21,r90,2,spine+tail,MBC,2.21,54.41,31.56,809.77,80.27,84.19,11.29,-142.72,-10.58,-10.75,-253.25,-265.88,-3.48,-3.58,-2.81,-2.21
Apr21,r180,2,spine+tail,MBC,0.66,0.23,0.0,26.49,173.41,172.6,-29.7,-29.62,-10.39,-11.04,-0.0,12.95,-3.37,-6.45,-5.97,-122.25
Apr27,r180_p-15,2,spine+tail,MBC,-18.53,12.24,25.69,-14.64,-170.18,-173.3,0.0,-0.0,-10.42,-24.35,37.93,71.77,-13.05,-12.28,0.0,0.0
Apr27,r180_p15,2,spine+tail,MBC,-397.37,-396.35,29.12,210.66,-175.64,-178.73,60.71,60.92,50.33,-33.73,-92.65,-131.42,-1.33,-0.55,-33.0,-33.83
Apr21,r45,3,spine+tail,MBC,18.74,13.47,290.16,-78.21,42.29,46.21,106.32,29.24,13.01,17.89,-172.55,-86.96,0.32,-2.47,-11.81,-50.15
Apr21,r90,3,spine+tail,MBC,-51.03,-59.8,-285.5,-545.03,84.83,96.5,-7.64,-85.36,-43.38,40.0,-60.27,-169.02,-3.08,-3.1,66.34,60.72
Apr21,r180,3,spine+tail,MBC,35.1,-2.89,0.76,-19.68,174.08,174.09,72.95,73.79,-5.17,-6.3,45.22,-11.61,-6.31,-5.55,70.62,-122.09
Apr27,r180_p-15,3,spine+tail,MBC,-16.13,9.44,-4.39,204.72,-168.97,-171.24,-0.0,-0.0,10.02,6.14,-5.21,71.99,-17.58,-18.35,-0.0,-0.0
Apr27,r180_p15,3,spine+tail,MBC,-63.83,-53.93,-0.0,-0.0,-171.58,-176.24,-1.21,76.32,-14.23,26.85,-0.0,146.1,6.51,6.51,-9.39,-9.88
Apr21,r45,4,spine+tail,MBC,-12.33,-5.54,52.88,37.0,47.4,48.9,14.89,14.91,4.3,2.99,138.33,118.82,-2.75,-1.72,-3.0,-3.02
Apr21,r90,4,spine+tail,MBC,170.31,148.08,100.11,-10.34,83.88,86.15,-37.46,-76.15,3.55,-29.51,150.51,-200.79,-3.97,-3.9,48.3,48.32
Apr21,r180,4,spine+tail,MBC,431.48,430.45,1190.4,498.92,178.55,179.32,0.0,38.47,21.42,-31.9,164.32,-26.65,-8.63,-10.18,0.0,0.03
Apr27,r180_p-15,4,spine+tail,MBC,69.18,82.13,395.48,748.96,-172.9,-173.65,-13.79,-13.94,11.43,-34.59,-9.28,-159.11,-5.0,-6.53,-34.18,159.73
Apr27,r180_p15,4,spine+tail,MBC,-340.52,-332.4,-298.25,-25.53,-171.45,-174.56,-56.59,-56.65,25.1,5.4,71.85,41.37,5.12,3.59,-48.24,-48.35
Apr21,r45,5,spine+tail,MBC,1.32,10.38,-37.8,-334.72,45.07,49.72,16.93,-99.08,-2.94,-12.17,184.35,142.03,-2.77,-2.77,18.6,19.06
Apr21,r90,5,spine+tail,MBC,-34.47,-15.57,-100.15,-247.27,84.26,87.39,25.24,-51.68,-44.97,28.65,-8.53,280.13,-2.74,-2.8,14.05,14.19
Apr21,r180,5,spine+tail,MBC,-98.51,-63.36,-108.65,76.45,170.41,171.96,-48.18,28.78,39.42,-12.03,-246.16,24.53,-6.04,-6.04,-76.61,-77.68
Apr27,r180_p-15,5,spine+tail,MBC,-42.02,-2.86,-15.06,47.04,-172.33,-173.1,-108.43,-69.95,-4.8,-6.18,106.13,-27.52,-9.43,-9.43,-39.38,-39.54
Apr27,r180_p15,5,spine+tail,MBC,-12.66,26.24,301.55,223.49,-172.44,-175.54,-31.27,-31.5,21.86,1.61,165.61,155.99,5.59,4.82,-28.1,-29.02
