date,trial,rep,morphology,controller,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial,F_pitch_2p5m,B_pitch_2p5m,F_pitchrate_2p5m,B_pitchrate_2p5m,F_pitch_initial,B_pitch_initial,F_pitchrate_initial,B_pitchrate_initial
Apr22,r180,2,spine-only,RL,66.7,64.46,46.68,1.26,172.72,173.48,-20.56,95.6,17.73,-31.46,-97.24,-168.33,0.47,-3.38,-44.47,-199.3
Apr22,r180_p-15,2,spine-only,RL,-313.01,-304.19,-191.33,-101.08,-179.03,-178.26,-31.93,238.11,-16.24,8.27,44.79,-9.97,-15.26,-13.72,-55.34,22.01
Apr22,r180_p15,2,spine-only,RL,21.02,25.71,-123.08,20.35,177.76,178.53,-41.57,73.87,52.05,16.55,-43.87,130.96,15.13,15.13,-36.6,-35.93
Apr22,r45,3,spine-only,RL,15.35,12.1,-194.51,255.92,51.64,52.33,75.5,-194.54,-10.69,-55.78,220.94,-88.51,-4.25,-3.31,-3.27,-3.46
Apr22,r90,3,spine-only,RL,31.61,26.45,-73.44,90.0,80.27,81.8,-5.18,-313.92,-48.27,-18.33,-82.63,-4.03,-1.7,-1.58,-9.05,-48.79
Apr22,r180,3,spine-only,RL,32.59,31.18,71.81,-63.17,172.97,174.52,19.79,135.36,-18.84,8.26,-288.48,-202.44,1.03,-0.51,25.67,-167.92
Apr22,r180_p-15,3,spine-only,RL,-39.97,-37.51,55.41,-288.07,174.86,178.05,-35.48,41.7,-21.63,-8.64,70.16,-774.22,-16.45,-11.82,60.29,407.69
Apr22,r180_p15,3,spine-only,RL,-3.07,5.14,-136.65,43.41,174.67,176.24,-54.29,291.24,32.12,14.53,-92.82,137.58,10.02,8.47,-57.37,443.73
Apr22,r45,4,spine-only,RL,-76.81,-70.19,-57.67,-32.98,52.23,54.03,-29.44,-144.77,14.24,-6.81,80.11,-33.7,-0.53,-4.65,38.65,462.45
Apr22,r90,4,spine-only,RL,4.56,5.71,-99.93,-75.64,86.41,87.94,-23.42,246.81,5.13,-32.8,31.54,-497.42,-1.17,-1.14,32.55,-79.49
Apr22,r180,4,spine-only,RL,-10.47,-5.69,-104.61,-252.34,175.84,176.61,-91.93,23.71,-27.0,14.7,-47.78,185.44,-1.26,-2.03,-34.0,-34.48
Apr22,r180_p-15,4,spine-only,RL,31.11,22.89,24.17,-41.49,173.17,176.25,-92.21,-14.72,-46.78,39.09,-158.14,-42.31,-14.5,-15.27,-41.72,-5.03
Apr22,r180_p15,4,spine-only,RL,-6.68,18.3,-225.92,-421.1,174.25,176.59,-31.17,-69.69,38.43,-9.06,22.7,-115.96,15.43,14.65,-42.77,-42.69
Apr22,r45,5,spine-only,RL,-9.03,-18.38,-109.16,-149.97,53.03,54.56,-41.06,229.06,1.8,-15.68,127.96,-241.93,-1.8,-1.35,6.35,-185.58
Apr22,r90,5,spine-only,RL,1.38,-0.06,-0.92,-91.6,82.31,84.62,0.0,192.7,-18.1,-8.81,204.57,126.83,-0.63,-0.48,0.0,0.0
Apr22,r180,5,spine-only,RL,-22.08,-24.06,-92.08,-194.26,174.49,176.81,-62.1,168.73,-6.8,11.58,-229.72,136.73,0.62,-0.93,-2.24,-349.78
Apr22,r180_p-15,5,spine-only,RL,9.37,6.52,-32.1,-15.8,175.4,176.93,-83.25,-44.51,-56.21,18.05,-141.68,122.02,-17.08,-17.85,-33.55,-34.19
Apr22,r180_p15,5,spine-only,RL,-377.72,-372.26,-57.61,-76.84,-178.52,-176.99,-58.35,-20.21,13.3,36.29,-302.65,446.93,15.45,13.9,-34.63,-34.2
