Time,F_Q0,F_Q1,F_Q2,F_Q3,F_GX,F_GY,F_GZ,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_GX,B_GY,B_GZ,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
2.13,0.45376276079140065,0.20935907233787576,0.2676227530282824,0.8237998530045713,-0.44921900000000003,0.2890619999999999,0.3125,0.027,-0.0541,2.6488,0.0,0.0,-0.6859022550842372,0.16317870976784227,-0.27573379405309584,0.6533618292844674,-0.4042970000000001,0.1601559999999999,-0.10546899999999998,0.1758,0.0,6.1387,0.0,0.0
2.15,0.4514724438670028,0.2022801096994955,0.2656358307385165,0.8274617786197584,0.04492199999999969,1.361328,0.589844,0.027,0.1352,5.3295,0.0,-1.4835298641951802,-0.6859022550842372,0.16317870976784227,-0.27573379405309584,0.6533618292844674,-0.4042970000000001,0.1601559999999999,-0.10546899999999998,0.1893,0.0135,8.1015,0.0,0.0
2.1701,0.43999767699319453,0.18709026436567439,0.27556440730528187,0.8339445632934263,0.7773439999999997,1.4980470000000001,0.369141,0.027,-0.027,3.7822,0.0,-1.4835298641951802,-0.6668401691293341,0.233486513349175,-0.27310568155921217,0.6528564341566108,-0.8105470000000001,0.5605469999999998,0.28125000000000006,0.1352,0.027,5.4456,0.0,0.0
2.1902,0.4390159062115579,0.1874403298370919,0.27747108639602264,0.8337511337671558,1.1894530000000003,-1.2890619999999997,0.179688,0.0135,-0.0811,1.2538,0.0,-1.4835298641951802,-0.6683255133008736,0.23379477901043033,-0.27246605774605204,0.6514930981636821,-0.11718800000000004,0.17382799999999993,0.382812,0.0947,0.027,1.7002,0.0,0.0
2.2102,0.4352882299525108,0.19472752795211815,0.286307610490206,0.8310435000033727,0.7480469999999999,0.5527340000000001,0.087891,0.0135,-0.1352,2.3506,0.0,-1.4835298641951802,-0.6694212058143375,0.2300742071597581,-0.27910156988135876,0.6488785881007697,-0.16601600000000025,1.142578,0.2539060000000002,0.0676,0.0135,4.082,0.0,0.0
2.2303,0.43116115840352476,0.1888651637301697,0.2913256994828154,0.8328021026835578,0.6074219999999996,1.9960940000000003,0.568359,0.0135,-0.2164,1.247,0.0,-1.4835298641951802,-0.6694212058143375,0.2300742071597581,-0.27910156988135876,0.6488785881007697,-0.20703100000000035,1.660156,0.0605470000000002,0.0541,0.0,1.4642,0.0,0.0
2.2504,0.41324927719207166,0.16987450074854873,0.3087615460503127,0.8396630256098468,0.4824219999999996,1.947266,0.667969,0.0135,-0.3245,0.7935,0.0,-1.4835298641951802,-0.6598441306035997,0.21043939880008075,-0.3041785799381183,0.6540614453149414,-0.07812500000000058,2.648438,0.005859000000000324,0.0676,0.0,2.7844,0.0,0.0
2.2705,0.40607324138641604,0.16179955242535612,0.31509621561451934,0.8424012122322072,0.3808589999999993,3.140625,0.744141,0.0135,-0.4598,2.9026,0.0,-1.4835298641951802,-0.6598441306035997,0.21043939880008075,-0.3041785799381183,0.6540614453149414,-0.4257810000000007,2.984375,-0.06835899999999964,0.0676,0.0,1.3547,0.0,0.0
2.2906,0.3796568945488852,0.12584756295532917,0.3372327766350085,0.8522306540384145,0.3085939999999992,3.539062,0.707031,0.0135,-0.595,2.5368,0.0,-1.4835298641951802,-0.6451218075886231,0.18613967426935318,-0.3345154343762214,0.6612634113578147,-0.41992200000000074,3.308594,-0.17968799999999957,0.0676,0.0,4.6923,0.0,0.0
2.3106,0.36900837249288126,0.11186762419443722,0.3451842731119657,0.8556671509900395,0.3359379999999991,4.080078,0.958984,0.0135,-0.7437,1.5893,0.0,-1.4835298641951802,-0.6248482424882199,0.15619031704279215,-0.37025603166315113,0.6693875781178723,-0.2753910000000008,3.541016,-0.13281199999999957,0.0676,0.0,5.1602,0.0,0.0
