Time,F_Q0,F_Q1,F_Q2,F_Q3,F_GX,F_GY,F_GZ,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_GX,B_GY,B_GZ,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
0.8245,0.0586966048819857,-0.5028039366179147,-0.861025197946641,-0.04877005636457395,-0.5078119999999999,-0.5878910000000002,-0.384766,-0.0135,0.027,2.3272,0.0,0.0,-0.02468714794631911,0.7018159039739396,-0.708031532710424,-0.07440652083820712,0.22070300000000004,-0.17382799999999995,0.01367199999999998,-0.1623,0.027,3.1763,0.0,0.0
0.8446,0.0586966048819857,-0.5028039366179147,-0.861025197946641,-0.04877005636457395,-1.0332029999999999,-0.5078120000000003,-0.654297,0.0,0.027,0.9273,0.0,-1.4835298641951802,-0.0257218812516098,0.7015673693100314,-0.7082140329646793,-0.07466253850616422,-0.787109,0.04882799999999981,0.181641,-0.1352,0.027,4.9113,0.0,0.0
0.8648,-0.041950262378621796,0.494254503857243,0.8663705706020128,0.057919731507819705,-0.132812,-0.04296900000000003,-0.322266,0.0135,0.0135,1.1293,0.0,-1.4835298641951802,-0.015666038545572223,0.7002489418878821,-0.7087936681250607,-0.08377070279645231,-1.349609,0.08593799999999968,0.06835900000000002,-0.0947,0.027,0.7886,0.0,0.0
0.885,-0.041950262378621796,0.494254503857243,0.8663705706020128,0.057919731507819705,-0.11132799999999998,-0.08203100000000003,-0.25,0.0541,-0.1217,0.3329,0.0,-1.4835298641951802,-0.0010790684511313433,0.7009072860513631,-0.7068626690758901,-0.0952521865276544,-1.226562,0.19335899999999973,-0.03320299999999998,-0.027,0.027,0.653,0.0,0.0
0.9051,-0.04043976659775527,0.4901972882793262,0.868871613999961,0.055976443493818896,0.5605470000000001,-0.4941409999999999,-0.007812,0.0406,-0.1758,3.5704,0.0,-1.4835298641951802,0.003107835158216034,0.7013892496931956,-0.7063957281733251,-0.09512379825218968,-0.43359400000000053,2.572266,-0.1562499999999997,0.0676,0.0406,4.3486,0.0,0.0
0.9252,-0.04043976659775527,0.4901972882793262,0.868871613999961,0.055976443493818896,0.07226599999999934,2.964844,-0.060547,0.0406,-0.2705,4.4119,0.0,-1.4835298641951802,0.030902068024550998,0.705009952611829,-0.7045786063841687,-0.0746660320079715,-0.0078120000000005945,2.675781,-0.11132799999999966,0.1623,0.027,3.605,0.0,0.0
0.9453,0.07898019143492482,-0.488858492377192,-0.8660660877769251,-0.06862241174990345,0.5312499999999994,2.251953,0.09375,0.027,-0.3786,2.5955,0.0,-1.4835298641951802,0.030902068024550998,0.705009952611829,-0.7045786063841687,-0.0746660320079715,0.2890619999999994,2.826172,-0.011718999999999653,0.2299,0.027,4.4053,0.0,0.0
0.9654,0.10030092901346599,-0.4881678162380152,-0.863648232405722,-0.07578678968603457,0.6562499999999994,2.412109,0.201172,0.027,-0.5003,0.5691,0.0,-1.4835298641951802,0.06724115475938959,0.7091879874403715,-0.7010745287928591,-0.032023907549985686,-0.05859400000000065,2.929688,0.03515600000000036,0.2434,0.027,2.4527,0.0,0.0
0.9855,0.1295172241821311,-0.4865188411738528,-0.8599209151129525,-0.08402812371051309,0.6894529999999993,3.230469,0.253906,0.027,-0.622,2.4474,0.0,-1.4835298641951802,0.06724115475938959,0.7091879874403715,-0.7010745287928591,-0.032023907549985686,-0.05859400000000065,2.929688,0.03515600000000036,0.2434,0.027,2.4527,0.0,0.0
1.0057,0.1295172241821311,-0.4865188411738528,-0.8599209151129525,-0.08402812371051309,0.6035159999999993,3.712891,0.318359,0.027,-0.7573,2.5564,0.0,-1.4835298641951802,0.09926585613937378,0.7101864588547204,-0.6969802390993495,-0.00017253788928631964,-0.0800780000000007,3.191406,-0.1542969999999996,0.2164,0.027,2.4383,0.0,0.0
1.0258,0.1995219766331962,-0.4808736671710226,-0.8468587667470029,-0.10854366055012324,0.47460899999999906,4.220703,0.275391,0.027,-0.906,3.0935,-1.4918715107930622,-1.4835298641951802,0.1097114687430108,0.7104452597106977,-0.6950809022235358,0.009667778698659611,-0.26953100000000074,3.345703,-0.17968799999999957,0.1758,0.027,1.8927,0.16643612814874575,1.545871510793062
1.0459,0.23672040457546478,-0.4774104497822932,-0.8371741578035812,-0.1232158350300862,0.529296999999999,4.302734,0.302734,0.027,-1.0683,2.2701,-1.333006220563998,-1.4835298641951802,0.14643874341597202,0.7105289969517112,-0.6869635402316027,0.042253204730641356,-0.19335900000000078,3.503906,-0.18554699999999957,0.1217,0.027,4.5189,0.11046327577872216,1.387006220563998
1.066,0.27690734052598837,-0.4730643591280684,-0.8245496216018379,-0.1401797360599614,0.429687999999999,4.599609,0.328125,-0.0541,-1.2035,4.2903,-1.3312398234453389,-1.4835298641951802,0.14643874341597202,0.7105289969517112,-0.6869635402316027,0.042253204730641356,-0.1875000000000008,3.609375,-0.27148399999999956,0.1487,0.1352,5.444,0.13725233777872214,1.4123398234453388
1.0862,0.3208761632313382,-0.46256283458175185,-0.812052239933601,-0.15377019071475437,1.876952999999999,4.691406,-0.630859,-0.1082,-1.3793,4.092,-1.2823528898926693,-1.4835298641951802,0.208024516246748,0.7009401380369297,-0.6768573240148834,0.08528121983466078,-2.210938000000001,4.3515619999999995,1.0820310000000004,0.0811,0.2028,7.5584,0.06579235207874182,1.3769528898926693
1.1063,0.3965391709380697,-0.4214844872365716,-0.8013649273317249,-0.15139935988402287,4.330077999999999,3.935547000000001,-1.779297,-0.2975,-1.4199,8.9962,-1.4359389051260982,-1.4835298641951802,0.208024516246748,0.7009401380369297,-0.6768573240148834,0.08528121983466078,-4.476562000000001,2.916015999999999,1.8007810000000004,0.0676,0.3651,7.3065,0.05516344407874181,1.5035389051260981
1.1263,0.3965391709380697,-0.4214844872365716,-0.8013649273317249,-0.15139935988402287,4.330077999999999,3.935547000000001,-1.779297,-0.2975,-1.4199,8.9962,-1.363265659170089,-1.4835298641951802,0.3061708368757618,0.6482937639242887,-0.6927475550223955,0.0779451044913503,-5.365234000000001,3.6874999999999982,2.4863280000000003,0.027,0.568,9.4768,0.010776654011797126,1.633765659170089
1.1464,0.4730534067565927,-0.34776556831906713,-0.8012684268102261,-0.11510209400685634,6.734374999999999,3.8027340000000014,-2.673828,-0.5544,-1.5281,1.2769,-1.5027371771901774,-1.4835298641951802,0.37054976877787243,0.5953567122011592,-0.7119673770024207,0.03668389537637011,-9.304688,1.9746089999999976,3.0546880000000005,-0.0541,0.8249,23.0938,-0.06777900524282905,1.7732371771901774
1.1665,0.5170293259180747,-0.28742990146326436,-0.802905032427868,-0.07354071516869957,8.402344,3.0000000000000018,-1.601562,-0.7978,-1.6633,19.9606,-1.690815976610018,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.2028,1.0818,23.0938,-0.2124485228460797,1.9748159766100182
1.1867,0.5384062456276227,-0.22921655205992922,-0.8109108821525498,-0.0014241269252917024,9.294922,0.18750000000000205,-0.724609,-1.1494,-1.7444,7.0226,-2.0521677440917308,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.3786,1.3523,23.0938,-0.3882485228460797,2.255067744091731
1.2067,0.5199711014550684,-0.17090681218980938,-0.8307116599350808,0.10168113515605111,10.425781000000002,-4.791015999999997,1.425781,-1.4605,-1.5145,18.5409,-2.3511088830825053,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.5003,1.6498,23.0938,-0.5099485228460797,2.5404088830825056
1.2268,0.49921378676801936,-0.11251442795713334,-0.8328290818555415,0.21100194079171283,11.710938000000002,-4.228515999999997,0.005859,-1.758,-1.474,6.3514,-2.6513799708143067,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.595,1.9337,23.0938,-0.6046485228460797,2.8270799708143066
1.2469,0.4749261370335686,-0.06258114657245983,-0.8129510218793883,0.3311184085509392,12.357422,-3.3574219999999975,3.318359,-2.1366,-1.501,14.2707,-3.0279682439872744,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6491,2.2583,23.0938,-0.6587485228460798,3.1496682439872745
1.267,0.4356832653142289,-0.02287345981722733,-0.7835821686132013,0.44233006024071386,11.542969,-3.7597659999999973,3.46875,-2.3935,-1.5551,4.5608,-3.2828075120878126,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6491,2.2583,23.0938,-0.6587485228460798,3.147607512087813
1.2871,0.3841905953154733,0.008243337830597719,-0.7400265974754338,0.5519875622525251,11.839844,-2.9921879999999974,5.078125,-2.7586,-1.5416,5.5263,-3.648177085075204,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6897,2.8668,23.0938,-0.6993485228460797,3.7563770850752043
1.3072,0.3269196543647821,0.024729282222644255,-0.6802953203488197,0.65552290524608,11.669922,-2.746093999999997,6.048828,-3.0697,-1.474,8.7157,-3.9630799708143067,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6897,3.1102,23.0938,-0.6993485228460797,4.0035799708143065
1.3273,0.26978178402448355,0.027923504646088726,-0.6006318272349586,0.7521166631641941,12.419922,-0.07226599999999724,6.556641,-3.3942,-1.5281,7.9161,-4.284209072414357,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6626,3.5429,23.0938,-0.6722485228460797,4.432909072414357
1.3474,0.21596469948206376,0.019680209272427557,-0.49977492638834675,0.8385683996515358,12.84375,0.6152340000000028,6.511719,-3.7052,-1.5145,8.2706,-4.595808883082506,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6491,3.854,23.0938,-0.6587485228460798,4.744608883082505
1.3675,0.1561883423463529,0.006862398986225316,-0.3836303769588504,0.9101570430808426,13.275391,1.611328000000003,6.396484,-4.0974,-1.474,8.8101,-4.990779970814307,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6356,4.1785,3.916,-0.6452485228460798,5.071879970814306
1.3877,0.10798269694422542,-0.017824817134241586,-0.2544194245689619,0.9608812462821724,13.402344,2.6074220000000032,5.966797,-4.476,-1.5686,9.382,-5.365200107596177,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6356,4.5301,6.9954,-0.6452485228460798,5.419300107596177
1.4078,0.0676721157932964,-0.04825075666789089,-0.10970812239371516,0.990482951446354,15.249999999999998,4.003906000000003,4.978516,-4.8006,-1.5686,11.1572,-5.689800107596177,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.622,4.9087,12.0065,-0.6316485228460798,5.797900107596177
1.4279,0.03728949867748405,-0.08221876948891446,0.04277112710976399,0.9949975868904765,15.054687999999999,4.318359000000004,4.609375,-5.2198,-1.4605,10.334,-6.114434186013759,-1.4835298641951802,0.4011056482832307,0.5614783297552981,-0.7237502600234024,0.006473426183067272,-11.398438,-0.20312500000000303,3.966797,-0.6761,5.1792,8.3437,-0.6857485228460798,6.073834186013759
