Time,F_Q0,F_Q1,F_Q2,F_Q3,F_GX,F_GY,F_GZ,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_GX,B_GY,B_GZ,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
0.9656,0.2812625811209879,0.2737099858037578,0.5837588374391571,0.710774101838376,0.296875,-0.09570299999999993,0.417969,0.0406,-0.0135,1.2549,0.0,0.0,-0.5264027360165576,0.47223907179358876,-0.4477250975735351,0.5472044001911721,2.037109,-0.15234399999999962,0.355469,0.027,0.027,1.2272,0.0,0.0
0.9857,0.2792747882526234,0.2760376846096524,0.5843587252532675,0.7101645369505372,0.408203,0.07421900000000009,0.429688,0.0,-0.0135,0.3871,0.0,-1.4835298641951802,-0.5483998604051283,0.44931052626345597,-0.4270414646347795,0.5612603955198286,2.355469,-0.0332029999999995,0.128906,0.027,0.0135,0.284,0.0,0.0
1.0058,0.27245681167272523,0.2809158668302995,0.5873382987064929,0.7084400358595476,0.365234,-0.003905999999999919,0.421875,-0.0135,-0.0135,0.6676,0.0,-1.4835298641951802,-0.5656833685425784,0.4285243074114066,-0.40832627976717917,0.5741418759883231,2.330078,-0.01953099999999951,0.234375,0.027,0.0135,0.7578,0.0,0.0
1.0265,0.27051756647729774,0.2826020406795905,0.5879906337973843,0.7079712899528358,0.300781,-0.011718999999999934,0.367188,-0.0406,-0.1352,0.6792,0.0,-1.4835298641951802,-0.5709504363538827,0.4216638616951099,-0.40224218179942084,0.5782874839981582,2.294922,0.021484000000000485,0.195312,0.027,0.0135,0.4823,0.0,0.0
1.0466,0.26511864746825076,0.2872585954888044,0.589190890358738,0.7071412141861643,0.216797,-0.03906199999999995,0.451172,-0.027,-0.2299,8.989,0.0,-1.4835298641951802,-0.5868501802397077,0.4004552677226716,-0.3840551174972623,0.5896983222207351,2.328125,0.021484000000000475,0.341797,0.0135,-0.027,13.4413,0.0,0.0
1.0673,0.2619636286025155,0.28863494164761294,0.5908212012832774,0.7063959483630039,-0.4003910000000005,2.279297,0.220703,-0.027,-0.311,3.9157,0.0,-1.4835298641951802,-0.5868501802397077,0.4004552677226716,-0.3840551174972623,0.5896983222207351,1.5917969999999995,2.3417970000000006,0.5429690000000004,0.0541,-0.0676,11.7849,0.0,0.0
1.0874,0.2391381170656437,0.259422671478653,0.5942412081016555,0.722765677853523,-0.7617190000000007,3.0625,0.201172,-0.0541,-0.4057,2.5238,0.0,-1.4835298641951802,-0.5937089487519307,0.3658239939180936,-0.3820526985082041,0.6063977450554142,1.5917969999999995,2.3417970000000006,0.5429690000000004,0.0947,-0.0676,5.874,0.0,0.0
1.1075,0.22765912622883017,0.2445341050226934,0.5966169435291089,0.72967295168415,-0.01953100000000043,1.945312,0.273438,-0.0541,-0.5274,7.3885,0.0,-1.4835298641951802,-0.5937089487519307,0.3658239939180936,-0.3820526985082041,0.6063977450554142,1.5917969999999995,2.3417970000000006,0.5429690000000004,0.1217,-0.0676,5.874,0.0,0.0
1.1276,0.21100176549637412,0.22502866896570406,0.5963636616210868,0.7410740423188675,-0.9101560000000006,2.830078,0.300781,-0.027,-0.6491,1.4012,0.0,-1.4835298641951802,-0.5937089487519307,0.3658239939180936,-0.3820526985082041,0.6063977450554142,1.5917969999999995,2.3417970000000006,0.5429690000000004,0.1217,-0.0541,5.874,0.0,0.0
1.1477,0.21100176549637412,0.22502866896570406,0.5963636616210868,0.7410740423188675,-1.5468750000000009,4.050781,0.441406,-0.027,-0.7978,2.5814,0.0,-1.4835298641951802,-0.5937089487519307,0.3658239939180936,-0.3820526985082041,0.6063977450554142,1.5917969999999995,2.3417970000000006,0.5429690000000004,0.1217,-0.0541,5.874,0.0,0.0
