Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
0.0001,0.7071064588715872,-0.00030193445793816765,-0.0009058033738145032,0.7071064588715871,0.0,0.0,9.7227,0,0,-0.0007332695165392644,0.7071497068272098,-0.707063439825264,0.00021566750486445914,0.0,0.0,9.9375,0,0
0.0202,0.7071064588715872,-0.00030193445793816765,-0.0009058033738145032,0.7071064588715871,0.0,0.0,9.7227,0,0,-0.0007332695165392644,0.7071497068272098,-0.707063439825264,0.00021566750486445914,0.0,0.0,9.9375,0,0
0.0402,0.707106400339143,-0.0003026415393451531,-0.0009927773860761565,0.7071064003391428,0.0,0.0,9.9456,0,0,-0.0007332695165392644,0.7071497068272098,-0.707063439825264,0.00021566750486445914,0.0,0.0,9.9375,0,0
0.0603,0.707106400339143,-0.0003026415393451531,-0.0009927773860761565,0.7071064003391428,0.0,0.0,9.9456,0,0,-0.0007332695165392644,0.7071497068272098,-0.707063439825264,0.00021566750486445914,0.0,0.0,9.6759,0,0
0.0804,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.836,0,0,-0.0007332695165392644,0.7071497068272098,-0.707063439825264,0.00021566750486445914,0.0,0.0,9.6759,0,0
0.1005,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.836,0,0,-0.0007764029987337048,0.7071496897237441,-0.7070634227238847,0.00017253399971856747,0.0,0.0,9.9415,0,0
0.1206,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.836,0,0,-0.0007764029987337048,0.7071496897237441,-0.7070634227238847,0.00017253399971856747,0.0,0.0,9.9415,0,0
0.1406,0.7070632009879803,-0.00043204197036384806,-0.0010359107800049713,0.707149467960786,0.0,0.0,9.7658,0,0,-0.0007764029987337048,0.7071496897237441,-0.7070634227238847,0.00017253399971856747,0.0,0.0,9.9415,0,0
0.1607,0.7070632009879803,-0.00043204197036384806,-0.0010359107800049713,0.707149467960786,0.0,0.0,9.7658,0,0,-0.0008195364773169048,0.7071065378058224,-0.7071065378058223,0.00012940049641842235,0.0,0.0,9.9375,0,0
0.1808,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.8284,0,0,-0.0008195364773169048,0.7071065378058224,-0.7071065378058223,0.00012940049641842235,0.0,0.0,9.9375,0,0
0.2009,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.8284,0,0,-0.000776403011734177,0.707106568063953,-0.7071065680639529,-4.324357965315522e-17,0.0,0.0,9.8672,0,0
0.221,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.8284,0,0,-0.000776403011734177,0.707106568063953,-0.7071065680639529,-4.324357965315522e-17,0.0,0.0,9.8672,0,0
0.241,0.707063224709922,-0.0003457750091587104,-0.001035910814759736,0.7071494916856219,0.0,0.0,9.8087,0,0,-0.000776403011734177,0.707106568063953,-0.7071065680639529,-4.324357965315522e-17,0.0,0.0,9.8672,0,0
0.2611,0.707063224709922,-0.0003457750091587104,-0.001035910814759736,0.7071494916856219,0.0,0.0,9.8087,0,0,-0.000905803414260358,0.7071064904452782,-0.7071064904452781,4.31334959171188e-05,0.0,0.0,9.8244,0,0
0.2812,0.707063224709922,-0.0003457750091587104,-0.001035910814759736,0.7071494916856219,0.0,0.0,9.8087,0,0,-0.000905803414260358,0.7071064904452782,-0.7071064904452781,4.31334959171188e-05,0.0,0.0,9.8244,0,0
0.3012,0.707063224709922,-0.0003457750091587104,-0.001035910814759736,0.7071494916856219,0.0,0.0,9.8008,0,0,-0.0008195364818911447,0.7071496752515819,-0.7070634082534879,-4.3133499046947784e-05,0.0,0.0,9.8711,0,0
0.3213,0.707063224709922,-0.0003457750091587104,-0.001035910814759736,0.7071494916856219,0.0,0.0,9.8008,0,0,-0.0008195364818911447,0.7071496752515819,-0.7070634082534879,-4.3133499046947784e-05,0.0,0.0,9.8711,0,0
0.3414,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.8008,0,0,-0.0008195364818911447,0.7071496752515819,-0.7070634082534879,-4.3133499046947784e-05,0.0,0.0,9.8711,0,0
0.3615,0.7070633043297552,-0.00025880095624302113,-0.0009489368395577444,0.7071495713151693,0.0,0.0,9.8008,0,0,-0.0008195364834158911,0.7071065430681057,-0.7071065430681056,-4.313349912719756e-05,0.0,0.0,9.8672,0,0
