Time,F_Q0,F_Q1,F_Q2,F_Q3,F_GX,F_GY,F_GZ,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_GX,B_GY,B_GZ,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
1.7115,0.2500559734510326,0.2881210660564353,0.6319153263670715,0.6746415950253566,-0.7734380000000002,1.2402339999999998,0.207031,0.027,0.0406,2.8544,0.0,0.0,-0.4766428482439065,0.5601121983062968,-0.5119467141280755,0.44384285779979693,2.337891,-0.029296999999999487,0.064453,-0.0135,0.027,5.8021,0.0,0.0
1.7316,0.2519146509109519,0.3014169524932788,0.6342541168340973,0.6658892886096587,1.7382810000000004,-2.3242189999999994,-0.160156,0.0406,0.0947,7.1606,0.0,-1.4835298641951802,-0.5080614029224345,0.5428483407700099,-0.4873459355839808,0.45791181340243825,1.9863280000000003,-0.6503909999999997,0.5195309999999999,0.0541,-0.0541,14.8859,0.0,0.0
1.7517,0.25554249239718113,0.30867049711167166,0.6360709245994373,0.6594196976671893,-0.3730469999999999,-0.46875000000000006,0.320312,0.0,-0.027,2.2578,0.0,-1.4835298641951802,-0.5151282035637598,0.5386065353361064,-0.4825877618048334,0.4600597636640382,2.806641,-0.7207029999999993,0.03320299999999991,0.0135,-0.0406,11.3763,0.0,0.0
1.7718,0.257533403648069,0.32330891014739777,0.63880477796631,0.6489039607462388,0.615234,-0.07617199999999986,0.011719,-0.0541,-0.0811,6.0698,0.0,-1.4835298641951802,-0.5392011494362445,0.5204712714476235,-0.4654900395159087,0.47084052412234517,1.5429689999999998,0.5781250000000003,0.38085900000000006,0.0947,-0.027,11.6519,0.0,0.0
1.7919,0.257533403648069,0.32330891014739777,0.63880477796631,0.6489039607462388,-0.7890620000000007,3.09375,0.253906,-0.0541,-0.1217,3.3158,0.0,-1.4835298641951802,-0.5392011494362445,0.5204712714476235,-0.4654900395159087,0.47084052412234517,1.6289059999999995,1.7402340000000005,0.1855470000000002,0.1082,-0.027,5.0709,0.0,0.0
1.8119,0.22995337669868957,0.2957270740596819,0.6433328902775579,0.6676748718501347,0.3300779999999998,0.8046880000000001,0.789062,-0.0406,-0.2028,2.7557,0.0,-1.4835298641951802,-0.5436532615587945,0.4931598948843931,-0.466660953426756,0.4934186901820101,1.1660159999999997,1.2851560000000002,0.04296900000000016,0.1352,-0.0541,1.4826,0.0,0.0
1.832,0.22995337669868957,0.2957270740596819,0.6433328902775579,0.6676748718501347,-0.35351600000000044,2.076172,0.519531,-0.0406,-0.311,3.003,0.0,-1.4835298641951802,-0.5386992066460506,0.47262407106652665,-0.47262407106652654,0.5128899878686669,1.1308589999999996,2.1015620000000004,-0.12890599999999974,0.1352,-0.0541,2.3392,0.0,0.0
1.8521,0.20125080757991656,0.2735423361161968,0.6439337109368815,0.6855815624122208,-0.9179690000000007,3.181641,0.320312,-0.027,-0.4327,0.6866,0.0,-1.4835298641951802,-0.533973112170605,0.4661253830249843,-0.47760634907334687,0.5191262063347205,-0.08789100000000062,2.808594,0.14257800000000034,0.1352,-0.0541,3.2841,0.0,0.0
1.8722,0.20125080757991656,0.2735423361161968,0.6439337109368815,0.6855815624122208,-1.117188000000001,4.078125,0.236328,-0.027,-0.5815,2.0099,0.0,-1.4835298641951802,-0.513977759128556,0.4440605542311687,-0.501719956536485,0.5356436992163011,-0.20312500000000064,2.84375,0.24023400000000036,0.1217,-0.0135,1.5637,0.0,0.0
1.8923,0.15455165443693453,0.21368004033575683,0.6412126574662012,0.7206253911555212,-1.1562500000000009,4.148438,0.03125,-0.027,-0.7573,4.1812,0.0,-1.4835298641951802,-0.513977759128556,0.4440605542311687,-0.501719956536485,0.5356436992163011,-0.6953120000000008,3.59375,0.43750000000000044,0.1082,0.0,0.6043,0.0,0.0
1.9124,0.12757558586013606,0.1785018760121858,0.6401215682206122,0.7362784310648773,-1.0273440000000011,4.626953,-0.074219,-0.027,-0.9331,1.9815,0.7282391587255412,-1.4835298641951802,-0.4752873509166606,0.4060200423527374,-0.5477478483239586,0.5560772913210699,-0.5566410000000009,4.015625,0.4277340000000005,0.1082,0.0,2.4921,0.10127552358161804,-0.7552391587255413
1.9324,0.09615607875837091,0.14043697620432452,0.6369277795813821,0.7519005704412854,-1.132812000000001,5.152344,0.146484,-0.0135,-1.1089,2.1253,0.6643434099618288,-1.4835298641951802,-0.4752873509166606,0.4060200423527374,-0.5477478483239586,0.5560772913210699,-0.5566410000000009,4.015625,0.4277340000000005,0.1082,0.0,2.4921,0.10127552358161804,-0.6778434099618288
1.9525,0.09615607875837091,0.14043697620432452,0.6369277795813821,0.7519005704412854,-1.132812000000001,5.152344,0.146484,-0.0135,-1.1089,2.1253,0.6732305488710716,-1.4835298641951802,-0.44141578761470635,0.37076714367912167,-0.5823255876775941,0.5732196241829641,-0.4394530000000009,4.1875,0.4511720000000005,0.0947,-0.0811,1.6396,0.08775142334614264,-0.7678305488710715
1.9726,0.0438488569604445,0.08536639608887915,0.6295908712716486,0.7709767771946608,-0.7734380000000011,5.214844,0.443359,0.1487,-1.3928,3.4161,0.7437085498693521,-1.4835298641951802,-0.43092964549106405,0.35661246107727534,-0.5907856249126061,0.5814632736794099,1.9648439999999991,4.232422,-0.019530999999999483,0.0947,-0.1352,4.8392,0.08774877234515412,-0.7302085498693521
1.9927,0.0056107827865018445,0.05433514576725418,0.6088233178553479,0.791423008691673,-3.5625000000000013,5.029296999999999,1.269531,0.2705,-1.474,9.7504,0.8214905164276272,-1.4835298641951802,-0.3977030944991473,0.30771840211513335,-0.5975689830178348,0.6245421876547189,3.4257809999999993,4.035156000000001,-1.0800779999999996,0.0947,-0.2569,3.0712,0.08808680241526631,-0.8078905164276271
2.0128,-0.03750524516067861,0.026585808599446262,0.5706554682664418,0.8199017550317594,-4.535156000000001,5.277343999999999,2.166016,0.4192,-1.4605,9.5376,0.9291518379981472,-1.4835298641951802,-0.3750957408898692,0.2754408812889023,-0.5835972881491717,0.6654695420122589,4.511718999999999,3.949219000000001,-2.0019529999999994,0.0947,-0.3381,13.1191,0.08794196219964069,-0.8480518379981472
2.0329,-0.07798596999090675,0.009019757305322397,0.5150892355041798,0.8535337790213403,-7.248047000000001,4.431640999999998,2.658203,0.568,-1.6768,5.8709,1.045812490095107,-1.4835298641951802,-0.35234448390920536,0.2488510566670536,-0.5577785339345394,0.7090907017697261,4.201171999999999,3.0917970000000015,-2.7187499999999996,0.0541,-0.4733,20.5327,0.04855888966393056,-0.9511124900951069
2.0529,-0.12300014899442174,-0.00340963908278874,0.43990990913594524,0.8895721497173119,-8.310547000000001,4.7304689999999985,3.291016,0.7437,-1.8932,15.6536,1.1822606269096234,-1.4835298641951802,-0.3351737266488205,0.23025422921265434,-0.5161396361211321,0.7538179083298391,5.378906,1.0937500000000016,-3.019531,0.0135,-0.6356,13.2225,0.011294153879522364,-1.0741606269096233
2.073,-0.1445414983165076,0.0020711719685188867,0.35468519432349244,0.9237434050854179,-8.453125,0.5488279999999981,0.775391,0.9331,-1.6362,21.3619,1.310296686500952,-1.4835298641951802,-0.3254596464353958,0.22015227351400316,-0.4709041149731626,0.7898470165228867,5.0625,0.8671880000000014,-2.552734,-0.0947,-0.7978,13.865,-0.09709460590043888,-1.1749966865009518
2.0931,-0.13896654425919636,0.030425933423597007,0.2861748891222842,0.9475581749886433,-7.154297,-1.7851560000000015,0.548828,1.1359,-1.5822,4.3067,1.43388917289882,-1.4835298641951802,-0.3376663650855254,0.21712684282138672,-0.4114229396809117,0.8182716692643479,7.357422000000001,-2.8183589999999983,-0.11718800000000035,-0.2434,-1.0007,9.8746,-0.239004367959445,-1.29868917289882
