Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,Cmd_B1,Cmd_B2
0.0006,0.7070041916070072,-0.00022699238202796273,0.00028356369219069487,0.7072092626063471,0.0,0.0,0.0,0.0,1.767750961415437e-05,-0.7072290768337162,0.7069844201006572,0.0002496064357509952,0.0,0.0,0.0,0.0
0.0207,0.7070565561838672,3.394255020499881e-05,0.0002135552117064507,0.7071569695615569,0.0,0.0,0.0,0.0,1.767750961415437e-05,-0.7072290768337162,0.7069844201006572,0.0002496064357509952,0.0,0.0,0.0,0.0
0.0408,0.7070565561838672,3.394255020499881e-05,0.0002135552117064507,0.7071569695615569,0.0,0.0,0.0,0.0,1.767750961415437e-05,-0.7072290768337162,0.7069844201006572,0.0002496064357509952,0.0,0.0,0.0,0.0
0.0608,0.7070565561838672,3.394255020499881e-05,0.0002135552117064507,0.7071569695615569,0.0,0.0,0.0,0.0,-0.0005430606393421616,-0.707161119411791,0.7070522244398396,-9.051010655703706e-05,0.0,0.0,0.0,0.0
0.0809,0.7069029343617695,-0.00036629549862744764,0.0005713644071254397,0.7073102436420964,0.0,0.0,0.0,0.0,-0.0005430606393421616,-0.707161119411791,0.7070522244398396,-9.051010655703706e-05,0.0,0.0,0.0,0.0
0.101,0.7069029343617695,-0.00036629549862744764,0.0005713644071254397,0.7073102436420964,0.0,0.0,0.0,0.0,0.00017818928529595302,-0.7072311520383789,0.7069822527192355,0.0004002187915772807,0.0,0.0,0.0,0.0
0.1211,0.70711029979434,0.00021284807561689417,5.444950771594966e-05,0.7071032284297014,0.0,0.0,0.0,0.0,0.00017818928529595302,-0.7072311520383789,0.7069822527192355,0.0004002187915772807,0.0,0.0,0.0,0.0
0.1411,0.70711029979434,0.00021284807561689417,5.444950771594966e-05,0.7071032284297014,0.0,0.0,0.0,0.0,0.00017818928529595302,-0.7072311520383789,0.7069822527192355,0.0004002187915772807,0.0,0.0,0.0,0.0
0.1612,0.70711029979434,0.00021284807561689417,5.444950771594966e-05,0.7071032284297014,0.0,0.0,0.0,0.0,-0.000492131495860209,-0.7071272006013304,0.7070861896433421,-1.979839351162009e-05,0.0,0.0,0.0,0.0
0.1813,0.7070006350834245,-0.0002312345296400892,0.0003698338195772681,0.7072127768537364,0.0,0.0,0.0,0.0,-0.000492131495860209,-0.7071272006013304,0.7070861896433421,-1.979839351162009e-05,0.0,0.0,0.0,0.0
0.2013,0.7070006350834245,-0.0002312345296400892,0.0003698338195772681,0.7072127768537364,0.0,0.0,0.0,0.0,9.192442831264757e-06,-0.7071689701165915,0.7070445185828769,0.0003104217232998731,0.0,0.0,0.0,0.0
0.2214,0.7070034808631337,-0.00018597762317065287,0.00032881975199374,0.7072099655246007,0.0,0.0,0.0,0.0,9.192442831264757e-06,-0.7071689701165915,0.7070445185828769,0.0003104217232998731,0.0,0.0,0.0,0.0
