timestamp_s,front_qr,front_qi,front_qj,front_qk,front_m1_rad,front_m2_rad,front_m1_cmd,front_m2_cmd,back_qr,back_qi,back_qj,back_qk,back_m1_rad,back_m2_rad,back_m1_cmd,back_m2_cmd
0.9443,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,5.226906694724035,-29.541148359612716,0.245911,-0.450317,-0.854248,0.083435,0.0,0.0,5.226906694724035,-29.541148359612716
0.9643,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,3.3548352606270018,-29.811827860331775,0.245911,-0.450317,-0.854248,0.083435,0.0,0.0,3.3548352606270018,-29.811827860331775
0.9844,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,1.467967969035914,-29.96406297620342,0.245911,-0.450317,-0.854248,0.083435,0.0,0.0,1.467967969035914,-29.96406297620342
1.0045,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,-0.42508121238139374,-29.99698828154054,0.245911,-0.450317,-0.854248,0.083435,0.0,0.0,-0.42508121238139374,-29.99698828154054
1.0246,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,-2.3146002082869668,-29.91057715718301,0.245911,-0.450317,-0.854248,0.083435,0.0,0.0,-2.3146002082869668,-29.91057715718301
1.0446,0.139221,0.908142,0.354309,-0.174255,0.0,0.0,-4.194072539434181,-29.705382602046456,0.245911,-0.450317,-0.854248,0.083374,0.0,0.0,-4.194072539434181,-29.705382602046456
1.0647,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-6.05873594805794,-29.3818263338362,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-6.05873594805794,-29.3818263338362
1.0848,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-7.897488642591876,-28.94183258088769,0.245911,-0.450317,-0.854309,0.083374,0.0,0.0,-7.897488642591876,-28.94183258088769
1.1049,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-9.704640330520833,-28.386968067323224,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-9.704640330520833,-28.386968067323224
1.1249,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-11.473340400594196,-27.719351724960905,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-11.473340400594196,-27.719351724960905
1.145,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-13.198597239957287,-26.940620462368567,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-13.198597239957287,-26.940620462368567
1.1651,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-14.870900148898878,-26.05487149769654,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-14.870900148898878,-26.05487149769654
1.1852,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-16.48305466901671,-25.066090815645875,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-16.48305466901671,-25.066090815645875
1.2052,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-18.029200285762983,-23.978072004559582,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-18.029200285762983,-23.978072004559582
1.2253,0.13916,0.908142,0.354309,-0.174194,0.0,0.0,-19.503742909506144,-22.794824248497484,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-19.503742909506144,-22.794824248497484
1.2453,0.13916,0.908142,0.354309,-0.174194,0.0,0.0,-20.90087475089452,-21.520999852409737,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-20.90087475089452,-21.520999852409737
1.2654,0.13916,0.908142,0.354309,-0.174194,0.0,0.0,-22.214917316534695,-20.161781881062172,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-22.214917316534695,-20.161781881062172
1.2855,0.13916,0.908142,0.354309,-0.174194,0.0,0.0,-23.440849687560366,-18.722354711018625,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-23.440849687560366,-18.722354711018625
1.3055,0.13916,0.908142,0.354309,-0.174194,0.0,0.0,-24.57359608423549,-17.208671520162337,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-24.57359608423549,-17.208671520162337
1.3256,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-25.609368733610037,-15.625627445513883,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-25.609368733610037,-15.625627445513883
1.3457,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-26.542771559433774,-13.98146193871419,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-26.542771559433774,-13.98146193871419
1.3657,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-27.370975500191065,-12.281274370680777,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-27.370975500191065,-12.281274370680777
1.3858,0.139221,0.908142,0.354309,-0.174194,0.0,0.0,-28.09110257072148,-10.530430017867513,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-28.09110257072148,-10.530430017867513
1.4059,0.139221,0.908142,0.35437,-0.174194,0.0,0.0,-28.698643406806966,-8.740015252214093,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-28.698643406806966,-8.740015252214093
1.426,0.139221,0.908142,0.354309,-0.174133,0.0,0.0,-29.192383156053623,-6.914099049779124,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,-29.192383156053623,-6.914099049779124
