Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,Cmd_B1,Cmd_B2
0.0008,0.992737,-0.03418,0.034363,0.109863,0.0,0.0,0.0,0.0,0.126892,0.589111,-0.759583,0.24469,0.0,0.2164,0.0,0.0
0.0209,0.992798,-0.034119,0.033752,0.109802,0.0,0.0,0.0,0.0,0.127014,0.589355,-0.759521,0.244202,0.0,0.1893,0.0,0.0
0.041,0.992798,-0.034119,0.033813,0.109802,0.0,0.0,0.0,0.0,0.127014,0.589355,-0.759521,0.244202,0.0,0.1893,0.0,0.0
0.0611,0.992798,-0.034119,0.033813,0.109802,0.0,0.0,0.0,0.0,0.127014,0.589355,-0.759521,0.244202,0.0,0.1893,0.0,0.0
0.0811,0.992798,-0.034058,0.03363,0.109741,0.0,0.0,0.0,0.0,0.126892,0.589355,-0.759521,0.244141,0.0,-0.0676,0.0,0.0
0.1012,0.992798,-0.034058,0.03363,0.109741,0.0,0.0,0.0,0.0,0.126892,0.589355,-0.759521,0.244141,0.0,-0.0676,0.0,0.0
0.1213,0.992798,-0.034058,0.03363,0.109741,0.0,0.0,0.0,0.0,0.127258,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.1413,0.992798,-0.033997,0.033813,0.109802,0.0,0.0,0.0,0.0,0.127258,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.1614,0.992798,-0.033997,0.033813,0.109802,0.0,0.0,0.0,0.0,0.127258,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.1815,0.992798,-0.033997,0.033813,0.109802,0.0,0.0,0.0,0.0,0.126892,0.589417,-0.759583,0.244141,0.0,0.0135,0.0,0.0
0.2015,0.992798,-0.033997,0.033813,0.109802,0.0,0.0,0.0,0.0,0.126892,0.589417,-0.759583,0.244141,0.0,0.0135,0.0,0.0
0.2216,0.992798,-0.033997,0.033813,0.109802,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.2417,0.992798,-0.033936,0.033691,0.109741,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.2617,0.992798,-0.033936,0.033691,0.109741,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244324,0.0,0.027,0.0,0.0
0.2818,0.992798,-0.033936,0.033875,0.109741,0.0,0.0,0.0,0.0,0.127014,0.589355,-0.759521,0.244141,0.0,0.027,0.0,0.0
0.3019,0.992798,-0.033936,0.033875,0.109741,0.0,0.0,0.0,0.0,0.127014,0.589355,-0.759521,0.244141,0.0,0.027,0.0,0.0
0.3219,0.992798,-0.033936,0.033875,0.109741,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244263,0.0,0.027,0.0,0.0
0.342,0.992798,-0.033875,0.033691,0.109741,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244263,0.0,0.027,0.0,0.0
0.3621,0.992798,-0.033875,0.033691,0.109741,0.0,0.0,0.0,0.0,0.127319,0.589355,-0.75946,0.244263,0.0,0.027,0.0,0.0
0.3821,0.992798,-0.033936,0.033813,0.109741,0.0,0.0,0.0,0.0,0.127197,0.589417,-0.75946,0.244202,0.0,0.027,0.0,0.0
0.4022,0.992798,-0.033936,0.033813,0.109741,0.0,0.0,0.0,0.0,0.127197,0.589417,-0.75946,0.244202,0.0,0.027,0.0,0.0
