Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,Cmd_B1,Cmd_B2
0.0007,0.5994637608269076,-0.0980549608994205,0.03530267089148831,0.7935881460343271,0.0,0.0,0.0,0.0,0.022916159604130654,0.24863067989270987,0.9680661480089849,0.022484833202250937,0.0,0.0,0.0,0.0
0.0207,0.5994637608269076,-0.0980549608994205,0.03530267089148831,0.7935881460343271,0.0,0.0,0.0,0.0,0.022916159604130654,0.24863067989270987,0.9680661480089849,0.022484833202250937,0.0,0.0,0.0,0.0
0.0408,0.5994637608269076,-0.0980549608994205,0.03530267089148831,0.7935881460343271,0.0,0.0,0.0,0.0,0.02291620396856014,0.24863116122808443,0.9680680221320099,0.022398611284275338,0.0,0.0,0.0,0.0
0.0609,0.5994621371493529,-0.09809782829129934,0.03525944229379917,0.7935859965611738,0.0,0.0,0.0,0.0,0.02291620396856014,0.24863116122808443,0.9680680221320099,0.022398611284275338,0.0,0.0,0.0,0.0
0.081,0.5994621371493529,-0.09809782829129934,0.03525944229379917,0.7935859965611738,0.0,0.0,0.0,0.0,0.02291620396856014,0.24863116122808443,0.9680680221320099,0.022398611284275338,0.0,0.0,0.0,0.0
0.101,0.5995052132084868,-0.09818408492657736,0.035259438946122074,0.7935427882402953,0.0,0.0,0.0,0.0,0.02291620396856014,0.24863116122808443,0.9680680221320099,0.022398611284275338,0.0,0.0,0.0,0.0
0.1211,0.5995052132084868,-0.09818408492657736,0.035259438946122074,0.7935427882402953,0.0,0.0,0.0,0.0,0.02291620396856014,0.24863116122808443,0.9680680221320099,0.022398611284275338,0.0,0.0,0.0,0.0
0.1412,0.5995052132084868,-0.09818408492657736,0.035259438946122074,0.7935427882402953,0.0,0.0,0.0,0.0,0.022873071712961445,0.2486311663162592,0.9680680419432809,0.02244174446723044,0.0,0.0,0.0,0.0
0.1612,0.5994603115494355,-0.09809752954451263,0.035345600609383146,0.7935835797771268,0.0,0.0,0.0,0.0,0.022873071712961445,0.2486311663162592,0.9680680419432809,0.02244174446723044,0.0,0.0,0.0,0.0
0.1813,0.5994603115494355,-0.09809752954451263,0.035345600609383146,0.7935835797771268,0.0,0.0,0.0,0.0,0.022873071712961445,0.2486311663162592,0.9680680419432809,0.02244174446723044,0.0,0.0,0.0,0.0
